2852,"in the plane cartesian coordinate system $xoy$, at the point $p(sqrt{3},1)$, rotate the vector $overrightarrow{op}$ around the point o in the counterclockwise direction $frac{pi}{2}$ to get vector $overrightarrow{oq}$, then the coordinates of point $q$ are",1643,1100,1637
3030,"in the regular tetrahedron $sabc$, the point $p$ moves on the edge $sa$ ($ does not include the end point). let the angle formed by $pa$ and the plane $pbc$ be $theta{1},pb$ the angle formed by the plane $sac$ is $theta{2}, and the angle formed by pc$ and the plane $abc$ is $theta{3}$, then",884,839,#N/A
1065,"as shown in the figure, in the plane cartesian coordinate system, $odotp$ and $x$ axis are tangent to the origin $o$, and the line parallel to the $y$ axis intersects $odotp$ at $e, f$ two points, if the point $ the coordinates of e$ are $(-3,-1)$, then the coordinates of point $f$ are",1095,1950,799
962,"after xiaoming learned how to draw points representing irrational numbers on the number line, he practiced: first draw the number line, the origin is $o$, find the point $a$ representing the number $2$ on the number line, and then pass the point $a$ to make $abperpoa$, make $ab=3 ($ as shown in $).$ take $o$ as the center of the circle, $ob$ as the radius to make an arc, and the positive semi-axis of the intersection axis is at the point $p$, then the point $p$ represents a number between",1095,628,353
376,"in the following geometry, the main view is a rectangle is",884,2136,96
3793,"9. known vector $boldsymbol{a}=(m,2), boldsymbol{b}=(-4,3)$, the following statement is correct with $(3)$",1096,620,1637
379,"the picture shows the abstract geometry of the hand-held fruit basket, and the direction pointed by the arrow is the main view direction, then its top view is",884,2136,556
285,"at a certain moment, the shadow length of a bamboo with a height of 1.8m is measured to be 3m, and the shadow length of a building measured at the same place is 90m, then the height of the building is",1095,1065,720
1142,"as shown in the figure, in $triangleabc$ and $triangleadb$, $angleabc=angleadb=90^{circ}, anglec=angleabd, ac=5mathrm{~cm}, ab=$$4mathrm{~cm}$, then $ad$ length of",720,1670,1671
3758,"in the plane, the fixed points $a,b,c,d$ satisfy $|overrightarrow{da}|=|overrightarrow{db}|=|overrightarrow{dc}|,overrightarrow{da}cdotoverrightarrow{db}=overrightarrow{db} cdotoverrightarrow{dc}=overrightarrow{dc}cdotoverrightarrow{da}=-2$, moving point $p, m$ satisfies $|overrightarrow{ap}|=1, overrightarrow{pm}=overrightarrow{mc}$, then $| the maximum value of overrightarrow{bm}|^{2}$ is $(quad)$",1643,1637,206
1356,"""nine chapters of arithmetic"" records a method for measuring the depth of a well. as shown in the figure, a wooden pole $bd$ is erected at the wellhead $b$, which is perpendicular to the wellhead, and the well water is observed from the top $d$ of the wooden pole. at the water surface $c$, the line of sight $dc$ and the diameter of the wellhead $ab$ intersect at the point $e$, if measured $ab=1.6$m, $bd=1$m, $be=0.2$m, then the well depth $ac$ is meters.",720,1670,1674
3741,"it is known that $a{1}, a{2}, a{3}$ are three non-collinear fixed points on the plane, and the point $m$ on the plane satisfies $overrightarrow{a{1}m}=lambdaleft(overrightarrow{ a{1}a{2}}+overrightarrow{a{1}a{3}}right)left(lambdaright.$ is a real number), and $overrightarrow{ma}{1}+overrightarrow{ma}{2}+ overrightarrow{ma}{3}$ is a unit vector, then such a point $m$ has $(quad)$",1637,173,1654
1314,"it is known that the quadrilateral $abcd$ is a parallelogram, $ac, bd$ intersect at the point $o$, the following conclusion is wrong",1095,1047,1056
987,"as shown in the figure, in the rhombus $abcd$, $anglea=30^{circ}$, take the length greater than $frac{1}{2}ab$ as the radius, and take the points $a and b$ as the center of the circle to intersect the arcs at two points, the straight line passing through these two points intersects $ad$ edge at point $e($drawing trace as shown in the figure$)$, connects $be$, $bd.$, then the degree of $angleebd$ is",932,1606,1609
2985,"ellipse $e, frac{x^{2}}{a^{2}}+frac{y^{2}}{b^{2}}=1(a>b>0)$ left and right focus respectively $f{1}, f{2}$, the line passing through the point $f{1}$ intersects the ellipse at $a, b$, and the $y$ axis at point $c$, if $f{ 1}, c$ are the trisection points of the line segment $ab$, and the perimeter of $trianglef{2}ab$ is $4sqrt{5}$, then the standard equation of the ellipse $e$ is",1095,1533,1534
3109,"if the vector $boldsymbol{a}$ and $boldsymbol{b}$ are not collinear, then ""$boldsymbol{a}cdotboldsymbol{b}<0$"" is ""2$|boldsymbol{a}-boldsymbol{b}|> |boldsymbol{a}|+$$|boldsymbol{b}|$|""",1661,134,1637
1282,"as shown in the figure, start from a point $p$ next to the straight road $l$, go westward for $6mathrm{~km}$ to reach $l$; start from point $p$ and go north for $6mathrm{~km}$ also arrive $l.$ which of the following statements is false",720,796,464
202,"3. as shown in the figure, $cd$ is the diameter of $odoto$, $ab$ is the chord of $odoto$, and $ab=10$, if $cdperp$$ab$ is at point $e$, then $ae$ long is",1095,1950,1603
2570,"4. knowing that $a$ is a real number, then ""$a>2$"" is ""the equation $x^{2}+y^{2}-2x-a=0$ represents a circle"" (",1095,1950,1974
756,"as shown in the figure, the expanded view of the cube is",884,1294,2136
346,"(2020 jiangxi nanchang yimou, 5) as shown in the figure, in the square grid of $3times4$, the side length of each small square is 1, which can draw a ""grid point"" equal to the area of ""grid point $triangleabc$"" square"" has",1095,2354,1271
636,"as shown in the figure, if the traffic sign pattern in the figure is rotated around its center by a certain angle and then coincides with itself, the rotation angle is at least",1095,1527,1528
341,"(2020 inner mongolia baotou april simulation, 2) as shown in the figure, $a//b$, if $angle1=$$110^{circ}$, then the degree of $angle2$ is",1095,1072,769
2752,"as shown in $textcircled{1}$, in the right-angled trapezoid $abcd$, $angleabc=anglecdb=angledab=$$90^{circ}, anglebcd=30^{circ}, bc=4$, point $e$ on the line segment move up $cd$ (excluding endpoints). fold $trianglebec$ to the position of $trianglebec^{prime}$ along $be$, so that the plane $bec^{prime}perp$ plane $abed$, as shown in the figure$ textcircled{2}$, then the minimum value of $ac^{prime}$ is",1095,2102,#N/A
2477,"given $minmathbf{r}$, the moving line $mx+y=0$ passing through the fixed point $a$ and the moving line $x-my-m+3=0$ passing through the fixed point $b$ intersect at the point $p$ , then the value range of $|pa|+sqrt{3}|pb|$ is",1095,1716,#N/A
2844,"it is known that all the edges of the quadrangular pyramid $p-abcd$ are equal in length, the points $e, f$ are on the line segments $pa, pc$ respectively, and the base $abcd$ of $ef//$, then the straight line $ef$ the size of the angle formed with $pb$ is",884,1756,839
1122,"as shown in the figure, $triangleabc$ is an equilateral triangle. p is a point on the bisector $bd$ of $angleabc$, $peperpab$ is at point $e$, and the vertical bisector of line segment $bp$ intersects $bc$ at point $f $, the foot is the point q. if $bf=2$, then the length of $pe$ is",720,790,1192
3761,"let the quadrilateral $abcd$ be a parallelogram, $|overrightarrow{ab}|=6,|overrightarrow{ad}|=4$. if the point $m,n$ satisfies $overrightarrow{bm}=3overrightarrow{mc},overrightarrow{ dn}=2overrightarrow{nc}$, then $overrightarrow{am}cdotoverrightarrow{nm}=$$(quad)$",1095,1047,1643
1379,"as shown in the figure, in $odoto$, the chord $ab$ vertically bisects the radius $oc, oc=2$, then the length of the chord $ab$ is",1095,146,628
1421,"as shown in the figure, $pa, pb$ cut $odoto$ at points $a, b$, point $c$ is a point above $odoto$, and $anglep=36^{circ}$, then $angleacb=$",1095,1950,2009
